run,Accuracy,Precision,Recall,F1,AUC
1,0.8543046357615894,0.5383561643835616,0.511164274322169,0.5020983213429256,0.8153907496012759
2,0.8807947019867549,0.7336309523809523,0.5938995215311005,0.6212374581939799,0.8484848484848485
3,0.8874172185430463,0.7816091954022988,0.5976874003189793,0.6293140794223827,0.85207336523126
4,0.8741721854304636,0.700354609929078,0.6126395534290271,0.6376152583049135,0.8895534290271132
5,0.8874172185430463,0.7816091954022988,0.5976874003189793,0.6293140794223827,0.8777910685805422
6,0.8940397350993378,0.9459459459459459,0.5789473684210527,0.6077922077922078,0.9244417862838915
7,0.8741721854304636,0.6948275862068966,0.5675837320574163,0.5857039711191336,0.8225677830940988
8,0.9072847682119205,0.8466353677621283,0.6766347687400319,0.7244525547445255,0.9138755980861244
9,0.8874172185430463,0.7816091954022988,0.5976874003189793,0.6293140794223827,0.794457735247209
10,0.8741721854304636,0.6921768707482994,0.5450558213716108,0.5529063425276609,0.8596491228070176
Average,0.8821192052980132,0.7496755083563758,0.5878987240829346,0.6119748352292494,0.8598285486443382
